Roll,Sem,SubCode,Credit,Grade,Sub_Type
0401CS01,7,CS461,6,BB,DEPARTMENTAL ELECTIVE - I
0401CS01,7,CS498,10,AA,CORE
0401CS01,7,MA410,6,AB,OPEN ELECTIVE - I
0401CS01,8,CS452,6,BB,Departmental Elective - IV
0401CS01,8,CS453,6,AA,Departmental Elective - III
0401CS01,8,CS499,16,AA,CORE
0401CS01,8,HS441,6,BB,HSS Elective
0401CS01,8,MA412,6,BC,Open Elective - II
0401CS02,1,CH101,8,AB,CORE
0401CS02,1,CH110,3,BB,CORE
0401CS02,1,EE101,8,AB,CORE
0401CS02,1,HS101,6,BC,CORE
0401CS02,1,MA101,8,AA,CORE
0401CS02,1,ME111,7,AB,CORE
0401CS02,1,PH101,6,AA,CORE
0401CS02,1,PH110,3,AA,CORE
0401CS02,2,CH102,6,AB,CORE
0401CS02,2,CS101,6,CC,CORE
0401CS02,2,CS110,3,BC,CORE
0401CS02,2,EE102,4,AB,CORE
0401CS02,2,MA102,8,AA,CORE
0401CS02,2,ME101,8,AB,CORE
0401CS02,2,ME110,3,BB,CORE
0401CS02,2,PH102,6,AB,CORE
0401CS02,3,CS201,9,BB,CORE
0401CS02,3,CS203,6,AB,CORE
0401CS02,3,CS221,6,AB,CORE
0401CS02,3,EE220,8,AB,CORE
0401CS02,3,HS201,6,AB,HS Elective
0401CS02,3,MA201,8,AB,CORE
0401CS02,4,CS204,6,BB,CORE
0401CS02,4,CS222,6,BB,CORE
0401CS02,4,CS223,3,AA,CORE
0401CS02,4,CS241,7,AB,CORE
0401CS02,4,CS242,5,AB,CORE
0401CS02,4,HS202,6,AB,HS ELECTIVE
0401CS02,4,MA225,8,AA,CORE
0401CS02,4,MA251,6,AB,Elective-Sc.
0401CS02,5,CS301,6,BB,CORE
0401CS02,5,CS331,8,BB,CORE
0401CS02,5,CS341,6,AB,CORE
0401CS02,5,CS342,5,AB,CORE
0401CS02,5,CS343,6,AB,CORE
0401CS02,5,CS344,6,AA,CORE
0401CS02,5,CS345,5,AB,CORE
0401CS02,6,CS302,6,BB,CORE
0401CS02,6,CS346,6,AB,CORE
0401CS02,6,CS347,3,AB,CORE
0401CS02,6,CS348,8,BB,CORE
0401CS02,6,CS362,8,AB,CORE
0401CS02,6,CS399,3,AA,CORE
0401CS02,6,HS331,6,BB,HS Elective
0401CS02,7,CS400,2,AB,CORE
0401CS02,7,CS421,6,AB,CORE
0401CS02,7,CS422,5,AA,CORE
0401CS02,7,CS443,6,AA,DEPARTMENTAL ELECTIVE - II
0401CS02,7,CS461,6,AB,DEPARTMENTAL ELECTIVE - I
0401CS02,7,CS498,10,AB,CORE
0401CS02,7,MA410,6,AB,OPEN ELECTIVE - I
0401CS02,8,CS449,6,BB,Departmental Elective - III
0401CS02,8,CS453,6,AB,Departmental Elective - IV
0401CS02,8,CS499,16,AA,CORE
0401CS02,8,HS441,6,BB,HSS Elective
0401CS02,8,MA412,6,BB,Open Elective - II
0401CS03,1,CH101,8,AB,CORE
0401CS03,1,CH110,3,AA,CORE
0401CS03,1,EE101,8,BB,CORE
0401CS03,1,HS101,6,BB,CORE
0401CS03,1,MA101,8,AA,CORE
0401CS03,1,ME111,7,BB,CORE
0401CS03,1,PH101,6,AA,CORE
0401CS03,1,PH110,3,AA,CORE
0401CS03,2,CH102,6,AB,CORE
0401CS03,2,CS101,6,AB,CORE
0401CS03,2,CS110,3,AB,CORE
0401CS03,2,EE102,4,BB,CORE
0401CS03,2,MA102,8,AB,CORE
0401CS03,2,ME101,8,BB,CORE
0401CS03,2,ME110,3,BC,CORE
0401CS03,2,PH102,6,AB,CORE
0401CS03,3,CS201,9,AB,CORE
0401CS03,3,CS203,6,AA,CORE
0401CS03,3,CS221,6,AB,CORE
0401CS03,3,EE220,8,AB,CORE
0401CS03,3,HS221,6,BB,HS Elective
0401CS03,3,MA201,8,AA,CORE
0401CS03,4,CS204,6,BB,CORE
0401CS03,4,CS222,6,BB,CORE
0401CS03,4,CS223,3,AA,CORE
0401CS03,4,CS241,7,BC,CORE
0401CS03,4,CS242,5,AB,CORE
0401CS03,4,HS211,6,BB,HS ELECTIVE
0401CS03,4,MA214,6,AA,Elective-Sc.
0401CS03,4,MA225,8,AA,CORE
0401CS03,5,CS301,6,BB,CORE
0401CS03,5,CS331,8,AB,CORE
0401CS03,5,CS341,6,AA,CORE
0401CS03,5,CS342,5,AB,CORE
0401CS03,5,CS343,6,AB,CORE
0401CS03,5,CS344,6,BB,CORE
0401CS03,5,CS345,5,AB,CORE
0401CS03,6,CS302,6,AB,CORE
0401CS03,6,CS346,6,BB,CORE
0401CS03,6,CS347,3,AB,CORE
0401CS03,6,CS348,8,BB,CORE
0401CS03,6,CS362,8,AB,CORE
0401CS03,6,CS399,3,AA,CORE
0401CS03,6,HS331,6,BB,HS Elective
0401CS03,7,CS400,2,AB,CORE
0401CS03,7,CS421,6,BC,CORE
0401CS03,7,CS422,5,AB,CORE
0401CS03,7,CS443,6,BB,DEPARTMENTAL ELECTIVE - II
0401CS03,7,CS461,6,BC,DEPARTMENTAL ELECTIVE - I
0401CS03,7,CS498,10,AB,CORE
0401CS03,7,MA410,6,BC,OPEN ELECTIVE - I
0401CS03,8,CS449,6,BB,Departmental Elective - IV
0401CS03,8,CS453,6,BB,Departmental Elective - III
0401CS03,8,CS499,16,AA,CORE
0401CS03,8,HS441,6,CC,HSS Elective
0401CS03,8,MA412,6,BC,Open Elective - II
0401CS04,1,CH101,8,BB,CORE
0401CS04,1,CH110,3,BC,CORE
0401CS04,1,EE101,8,BB,CORE
0401CS04,1,HS101,6,CC,CORE
0401CS04,1,MA101,8,BB,CORE
0401CS04,1,ME111,7,BC,CORE
0401CS04,1,PH101,6,BB,CORE
0401CS04,1,PH110,3,AB,CORE
0401CS04,2,CH102,6,BB,CORE
0401CS04,2,CS101,6,CD,CORE
0401CS04,2,CS110,3,BC,CORE
0401CS04,2,EE102,4,BB,CORE
0401CS04,2,MA102,8,BC,CORE
0401CS04,2,ME101,8,BB,CORE
0401CS04,2,ME110,3,BB,CORE
0401CS04,2,PH102,6,BC,CORE
0401CS04,3,CS201,9,BC,CORE
0401CS04,3,CS203,6,BB,CORE
0401CS04,3,CS221,6,BB,CORE
0401CS04,3,EE220,8,AB,CORE
0401CS04,3,HS221,6,BB,HS Elective
0401CS04,3,MA201,8,AA,CORE
0401CS04,4,CS204,6,BB,CORE
0401CS04,4,CS222,6,CC,CORE
0401CS04,4,CS223,3,AB,CORE
0401CS04,4,CS241,7,BC,CORE
0401CS04,4,CS242,5,BB,CORE
0401CS04,4,HS211,6,BC,HS ELECTIVE
0401CS04,4,MA225,8,BC,CORE
0401CS04,4,MA251,6,BB,Elective-Sc.
0401CS04,5,CS301,6,BB,CORE
0401CS04,5,CS331,8,BB,CORE
0401CS04,5,CS341,6,BB,CORE
0401CS04,5,CS342,5,BB,CORE
0401CS04,5,CS343,6,BB,CORE
0401CS04,5,CS344,6,BC,CORE
0401CS04,5,CS345,5,BB,CORE
0401CS04,6,CS302,6,BC,CORE
0401CS04,6,CS346,6,BB,CORE
0401CS04,6,CS347,3,BB,CORE
0401CS04,6,CS348,8,BB,CORE
0401CS04,6,CS362,8,BB,CORE
0401CS04,6,CS399,3,BC,CORE
0401CS04,6,HS331,6,BC,HS Elective
0401CS04,7,CS400,2,AB,CORE
0401CS04,7,CS421,6,BC,CORE
0401CS04,7,CS422,5,BC,CORE
0401CS04,7,CS441,6,CC,DEPARTMENTAL ELECTIVE - II
0401CS04,7,CS461,6,BB,DEPARTMENTAL ELECTIVE - I
0401CS04,7,CS498,10,AA,CORE
0401CS04,7,MA410,6,BB,OPEN ELECTIVE - I
0401CS04,8,CS452,6,BC,Departmental Elective - III
0401CS04,8,CS453,6,BB,Departmental Elective - IV
0401CS04,8,CS499,16,AA,CORE
0401CS04,8,HS441,6,BC,HSS Elective
0401CS04,8,MA412,6,BC,Open Elective - II
0401CS05,1,CH101,8,BC,CORE
0401CS05,1,CH110,3,BB,CORE
0401CS05,1,EE101,8,CC,CORE
0401CS05,1,HS101,6,CC,CORE
0401CS05,1,MA101,8,BC,CORE
0401CS05,1,ME111,7,BC,CORE
0401CS05,1,PH101,6,BC,CORE
0401CS05,1,PH110,3,AB,CORE
0401CS05,2,CH102,6,BC,CORE
0401CS05,2,CS101,6,CC,CORE
0401CS05,2,CS110,3,BB,CORE
0401CS05,2,EE102,4,BB,CORE
0401CS05,2,MA102,8,BC,CORE
0401CS05,2,ME101,8,BC,CORE
0401CS05,2,ME110,3,BB,CORE
0401CS05,2,PH102,6,DD,CORE
0401CS05,3,CS201,9,BB,CORE
0401CS05,3,CS203,6,BB,CORE
0401CS05,3,CS221,6,BC,CORE
0401CS05,3,EE220,8,BC,CORE
0401CS05,3,HS201,6,BB,HS Elective
0401CS05,3,MA201,8,BB,CORE
0401CS05,4,CS204,6,BB,CORE
0401CS05,4,CS222,6,CC,CORE
0401CS05,4,CS223,3,BB,CORE
0401CS05,4,CS241,7,BC,CORE
0401CS05,4,CS242,5,AB,CORE
0401CS05,4,HS202,6,CC,HS ELECTIVE
0401CS05,4,MA225,8,BB,CORE
0401CS05,4,MA251,6,BB,Elective-Sc.
0401CS05,5,CS301,6,BB,CORE
0401CS05,5,CS331,8,BB,CORE
0401CS05,5,CS341,6,BB,CORE
0401CS05,5,CS342,5,BB,CORE
0401CS05,5,CS343,6,BC,CORE
0401CS05,5,CS344,6,BC,CORE
0401CS05,5,CS345,5,AB,CORE
0401CS05,6,CS302,6,BB,CORE
0401CS05,6,CS346,6,BC,CORE
0401CS05,6,CS347,3,BB,CORE
0401CS05,6,CS348,8,BB,CORE
0401CS05,6,CS362,8,BC,CORE
0401CS05,6,CS399,3,BC,CORE
0401CS05,6,HS331,6,BB,HS Elective
0401CS05,7,CS400,2,AA,CORE
0401CS05,7,CS421,6,BC,CORE
0401CS05,7,CS422,5,AA,CORE
0401CS05,7,CS441,6,AB,DEPARTMENTAL ELECTIVE - II
0401CS05,7,CS461,6,BB,DEPARTMENTAL ELECTIVE - I
0401CS05,7,CS498,10,AB,CORE
0401CS05,7,MA410,6,BC,OPEN ELECTIVE - I
0401CS05,8,CS449,6,BC,Departmental Elective - III
0401CS05,8,CS453,6,AB,Departmental Elective - IV
0401CS05,8,CS499,16,AA,CORE
0401CS05,8,HS441,6,BB,HSS Elective
0401CS05,8,MA412,6,BC,Open Elective - II
0401CS06,1,CH101,8,AB,CORE
0401CS06,1,CH110,3,BB,CORE
0401CS06,1,EE101,8,BB,CORE
0401CS06,1,HS101,6,CC,CORE
0401CS06,1,MA101,8,AA,CORE
0401CS06,1,ME111,7,BB,CORE
0401CS06,1,PH101,6,AA,CORE
0401CS06,1,PH110,3,AA,CORE
0401CS06,2,CH102,6,AA,CORE
0401CS06,2,CS101,6,BC,CORE
0401CS06,2,CS110,3,BB,CORE
0401CS06,2,EE102,4,BC,CORE
0401CS06,2,MA102,8,AB,CORE
0401CS06,2,ME101,8,BB,CORE
0401CS06,2,ME110,3,BB,CORE
0401CS06,2,PH102,6,AB,CORE
0401CS06,3,CS201,9,AA,CORE
0401CS06,3,CS203,6,AA,CORE
0401CS06,3,CS221,6,BB,CORE
0401CS06,3,EE220,8,BB,CORE
0401CS06,3,HS201,6,AB,HS Elective
0401CS06,3,MA201,8,AA,CORE
0401CS06,4,CS204,6,BB,CORE
0401CS06,4,CS222,6,BB,CORE
0401CS06,4,CS223,3,AB,CORE
0401CS06,4,CS241,7,BB,CORE
0401CS06,4,CS242,5,AB,CORE
0401CS06,4,HS202,6,AB,HS ELECTIVE
0401CS06,4,MA214,6,BB,Elective-Sc.
0401CS06,4,MA225,8,AA,CORE
0401CS06,5,CS301,6,AB,CORE
0401CS06,5,CS331,8,BB,CORE
0401CS06,5,CS341,6,AB,CORE
0401CS06,5,CS342,5,AB,CORE
0401CS06,5,CS343,6,AB,CORE
0401CS06,5,CS344,6,AB,CORE
0401CS06,5,CS345,5,AB,CORE
0401CS06,6,CS302,6,AB,CORE
0401CS06,6,CS346,6,AB,CORE
0401CS06,6,CS347,3,AA,CORE
0401CS06,6,CS348,8,AB,CORE
0401CS06,6,CS362,8,AB,CORE
0401CS06,6,CS399,3,BB,CORE
0401CS06,6,HS331,6,BC,HS Elective
0401CS06,7,CS400,2,AB,CORE
0401CS06,7,CS421,6,AB,CORE
0401CS06,7,CS422,5,AB,CORE
0401CS06,7,CS443,6,AB,DEPARTMENTAL ELECTIVE - II
0401CS06,7,CS461,6,AB,DEPARTMENTAL ELECTIVE - I
0401CS06,7,CS498,10,BB,CORE
0401CS06,7,MA410,6,AB,OPEN ELECTIVE - I
0401CS06,8,CS452,6,AB,Departmental Elective - III
0401CS06,8,CS453,6,AB,Departmental Elective - IV
0401CS06,8,CS499,16,AA,CORE
0401CS06,8,HS441,6,BB,HSS Elective
0401CS06,8,MA412,6,BC,Open Elective - II
0401CS07,1,CH101,8,AB,CORE
0401CS07,1,CH110,3,AA,CORE
0401CS07,1,EE101,8,BC,CORE
0401CS07,1,HS101,6,BC,CORE
0401CS07,1,MA101,8,BC,CORE
0401CS07,1,ME111,7,AB,CORE
0401CS07,1,PH101,6,BB,CORE
0401CS07,1,PH110,3,AA,CORE
0401CS07,2,CH102,6,BB,CORE
0401CS07,2,CS101,6,BC,CORE
0401CS07,2,CS110,3,BB,CORE
0401CS07,2,EE102,4,AB,CORE
0401CS07,2,MA102,8,BB,CORE
0401CS07,2,ME101,8,BC,CORE
0401CS07,2,ME110,3,AA,CORE
0401CS07,2,PH102,6,BB,CORE
0401CS07,3,CS201,9,AA,CORE
0401CS07,3,CS203,6,BB,CORE
0401CS07,3,CS221,6,AB,CORE
0401CS07,3,EE220,8,AB,CORE
0401CS07,3,HS201,6,BB,HS Elective
0401CS07,3,MA201,8,BB,CORE
0401CS07,4,CS204,6,AB,CORE
0401CS07,4,CS222,6,BC,CORE
0401CS07,4,CS223,3,AB,CORE
0401CS07,4,CS241,7,BB,CORE
0401CS07,4,CS242,5,AA,CORE
0401CS07,4,HS202,6,AB,HS ELECTIVE
0401CS07,4,MA225,8,AB,CORE
0401CS07,4,MA251,6,BB,Elective-Sc.
0401CS07,5,CS301,6,BB,CORE
0401CS07,5,CS331,8,BB,CORE
0401CS07,5,CS341,6,AB,CORE
0401CS07,5,CS342,5,AB,CORE
0401CS07,5,CS343,6,BB,CORE
0401CS07,5,CS344,6,BB,CORE
0401CS07,5,CS345,5,AB,CORE
0401CS07,6,CS302,6,BC,CORE
0401CS07,6,CS346,6,AB,CORE
0401CS07,6,CS347,3,AA,CORE
0401CS07,6,CS348,8,AB,CORE
0401CS07,6,CS362,8,BB,CORE
0401CS07,6,CS399,3,BB,CORE
0401CS07,6,HS331,6,BC,HS Elective
0401CS07,7,CS400,2,AA,CORE
0401CS07,7,CS421,6,AB,CORE
0401CS07,7,CS422,5,AA,CORE
0401CS07,7,CS443,6,AA,DEPARTMENTAL ELECTIVE - II
0401CS07,7,CS461,6,AB,DEPARTMENTAL ELECTIVE - I
0401CS07,7,CS498,10,AB,CORE
0401CS07,7,MA410,6,AB,OPEN ELECTIVE - I
0401CS07,8,CS452,6,AA,Departmental Elective - IV
0401CS07,8,CS453,6,AA,Departmental Elective - III
0401CS07,8,CS499,16,AA,CORE
0401CS07,8,HS441,6,BC,HSS Elective
0401CS07,8,MA412,6,BB,Open Elective - II
0401CS08,1,CH101,8,BB,CORE
0401CS08,1,CH110,3,AA,CORE
0401CS08,1,EE101,8,BB,CORE
0401CS08,1,HS101,6,AB,CORE
0401CS08,1,MA101,8,BB,CORE
0401CS08,1,ME111,7,BB,CORE
0401CS08,1,PH101,6,AA,CORE
0401CS08,1,PH110,3,AA,CORE
0401CS08,2,CH102,6,AB,CORE
0401CS08,2,CS101,6,CC,CORE
0401CS08,2,CS110,3,BB,CORE
0401CS08,2,EE102,4,BB,CORE
0401CS08,2,MA102,8,AB,CORE
0401CS08,2,ME101,8,BB,CORE
0401CS08,2,ME110,3,AA,CORE
0401CS08,2,PH102,6,BB,CORE
0401CS08,3,CS201,9,AB,CORE
0401CS08,3,CS203,6,AA,CORE
0401CS08,3,CS221,6,AB,CORE
0401CS08,3,EE220,8,AA,CORE
0401CS08,3,HS201,6,AB,HS Elective
0401CS08,3,MA201,8,AB,CORE
0401CS08,4,CS204,6,AB,CORE
0401CS08,4,CS222,6,AB,CORE
0401CS08,4,CS223,3,AA,CORE
0401CS08,4,CS241,7,AA,CORE
0401CS08,4,CS242,5,AA,CORE
0401CS08,4,HS202,6,AA,HS ELECTIVE
0401CS08,4,MA225,8,AB,CORE
0401CS08,4,MA251,6,AB,Elective-Sc.
0401CS08,5,CS301,6,AB,CORE
0401CS08,5,CS331,8,AB,CORE
0401CS08,5,CS341,6,AB,CORE
0401CS08,5,CS342,5,AB,CORE
0401CS08,5,CS343,6,AA,CORE
0401CS08,5,CS344,6,AA,CORE
0401CS08,5,CS345,5,AA,CORE
0401CS08,6,CS302,6,AB,CORE
0401CS08,6,CS346,6,AA,CORE
0401CS08,6,CS347,3,AB,CORE
0401CS08,6,CS348,8,AA,CORE
0401CS08,6,CS362,8,AB,CORE
0401CS08,6,CS399,3,AB,CORE
0401CS08,6,HS331,6,AB,HS Elective
0401CS08,7,CS400,2,AB,CORE
0401CS08,7,CS421,6,AA,CORE
0401CS08,7,CS422,5,AA,CORE
0401CS08,7,CS441,6,AA,DEPARTMENTAL ELECTIVE - II
0401CS08,7,CS461,6,AA,DEPARTMENTAL ELECTIVE - I
0401CS08,7,CS498,10,AA,CORE
0401CS08,7,MA410,6,AA,OPEN ELECTIVE - I
0401CS08,8,CS449,6,AB,Departmental Elective - IV
0401CS08,8,CS452,6,AA,Departmental Elective - III
0401CS08,8,CS499,16,AA,CORE
0401CS08,8,HS441,6,AB,HSS Elective
0401CS08,8,MA412,6,AA,Open Elective - II
0401CS09,1,CH101,8,BC,CORE
0401CS09,1,CH110,3,BB,CORE
0401CS09,1,EE101,8,CC,CORE
0401CS09,1,HS101,6,BB,CORE
0401CS09,1,MA101,8,CC,CORE
0401CS09,1,ME111,7,BC,CORE
0401CS09,1,PH101,6,CC,CORE
0401CS09,1,PH110,3,AB,CORE
0401CS09,2,CH102,6,CC,CORE
0401CS09,2,CS101,6,CD,CORE
0401CS09,2,CS110,3,BC,CORE
0401CS09,2,EE102,4,BC,CORE
0401CS09,2,MA102,8,BC,CORE
0401CS09,2,ME101,8,CD,CORE
0401CS09,2,ME110,3,BB,CORE
0401CS09,2,PH102,6,CD,CORE
0401CS09,3,CS201,9,BC,CORE
0401CS09,3,CS203,6,AB,CORE
0401CS09,3,CS221,6,BC,CORE
0401CS09,3,EE220,8,CC,CORE
0401CS09,3,HS201,6,BC,HS Elective
0401CS09,3,MA201,8,BC,CORE
0401CS09,4,CS204,6,BB,CORE
0401CS09,4,CS222,6,CD,CORE
0401CS09,4,CS223,3,BC,CORE
0401CS09,4,CS241,7,BC,CORE
0401CS09,4,CS242,5,AB,CORE
0401CS09,4,HS211,6,BB,HS ELECTIVE
0401CS09,4,MA225,8,CC,CORE
0401CS09,4,MA251,6,BC,Elective-Sc.
0401CS09,5,CS301,6,AB,CORE
0401CS09,5,CS331,8,BC,CORE
0401CS09,5,CS341,6,BB,CORE
0401CS09,5,CS342,5,BB,CORE
0401CS09,5,CS343,6,BB,CORE
0401CS09,5,CS344,6,CC,CORE
0401CS09,5,CS345,5,BB,CORE
0401CS09,6,CS302,6,BC,CORE
0401CS09,6,CS346,6,BB,CORE
0401CS09,6,CS347,3,AB,CORE
0401CS09,6,CS348,8,BC,CORE
0401CS09,6,CS362,8,BC,CORE
0401CS09,6,CS399,3,AB,CORE
0401CS09,6,HS331,6,BB,HS Elective
0401CS09,7,CS400,2,AB,CORE
0401CS09,7,CS421,6,CC,CORE
0401CS09,7,CS422,5,BB,CORE
0401CS09,7,CS443,6,BB,DEPARTMENTAL ELECTIVE - II
0401CS09,7,CS461,6,AB,DEPARTMENTAL ELECTIVE - I
0401CS09,7,CS498,10,AB,CORE
0401CS09,7,MA410,6,AB,OPEN ELECTIVE - I
0401CS09,8,CS452,6,CC,Departmental Elective - IV
0401CS09,8,CS453,6,BB,Departmental Elective - III
0401CS09,8,CS499,16,BB,CORE
0401CS09,8,HS441,6,AB,HSS Elective
0401CS09,8,MA412,6,BC,Open Elective - II
0401CS10,1,CH101,8,AB,CORE
0401CS10,1,CH110,3,BC,CORE
0401CS10,1,EE101,8,BC,CORE
0401CS10,1,HS101,6,AB,CORE
0401CS10,1,MA101,8,BB,CORE
0401CS10,1,ME111,7,CC,CORE
0401CS10,1,PH101,6,BB,CORE
0401CS10,1,PH110,3,AB,CORE
0401CS10,2,CH102,6,BB,CORE
0401CS10,2,CS101,6,BB,CORE
0401CS10,2,CS110,3,AB,CORE
0401CS10,2,EE102,4,BB,CORE
0401CS10,2,MA102,8,BB,CORE
0401CS10,2,ME101,8,BB,CORE
0401CS10,2,ME110,3,BB,CORE
0401CS10,2,PH102,6,AB,CORE
0401CS10,3,CS201,9,AB,CORE
0401CS10,3,CS203,6,AB,CORE
0401CS10,3,CS221,6,BB,CORE
0401CS10,3,EE220,8,AB,CORE
0401CS10,3,HS201,6,BB,HS Elective
0401CS10,3,MA201,8,AA,CORE
0401CS10,4,CS204,6,BB,CORE
0401CS10,4,CS222,6,BB,CORE
0401CS10,4,CS223,3,AB,CORE
0401CS10,4,CS241,7,AB,CORE
0401CS10,4,CS242,5,AB,CORE
0401CS10,4,HS211,6,BB,HS ELECTIVE
0401CS10,4,MA214,6,BB,Elective-Sc.
0401CS10,4,MA225,8,AA,CORE
0401CS10,5,CS301,6,AA,CORE
0401CS10,5,CS331,8,AB,CORE
0401CS10,5,CS341,6,AB,CORE
0401CS10,5,CS342,5,AA,CORE
0401CS10,5,CS343,6,AB,CORE
0401CS10,5,CS344,6,AA,CORE
0401CS10,5,CS345,5,AB,CORE
0401CS10,6,CS302,6,AB,CORE
0401CS10,6,CS346,6,BB,CORE
0401CS10,6,CS347,3,AB,CORE
0401CS10,6,CS348,8,AB,CORE
0401CS10,6,CS362,8,BC,CORE
0401CS10,6,CS399,3,AA,CORE
0401CS10,6,HS331,6,BC,HS Elective
0401CS10,7,CS400,2,AB,CORE
0401CS10,7,CS401,6,AB,OPEN ELECTIVE - I
0401CS10,7,CS421,6,AB,CORE
0401CS10,7,CS422,5,AB,CORE
0401CS10,7,CS443,6,AB,DEPARTMENTAL ELECTIVE - II
0401CS10,7,CS461,6,BB,DEPARTMENTAL ELECTIVE - I
0401CS10,7,CS498,10,AA,CORE
0401CS10,8,CS449,6,BB,Departmental Elective - IV
0401CS10,8,CS453,6,AB,Departmental Elective - III
0401CS10,8,CS499,16,AB,CORE
0401CS10,8,HS441,6,AB,HSS Elective
0401CS10,8,MA412,6,AA,Open Elective - II
0401CS11,1,CH101,8,AA,CORE
0401CS11,1,CH110,3,AA,CORE
0401CS11,1,EE101,8,BC,CORE
0401CS11,1,HS101,6,AB,CORE
0401CS11,1,MA101,8,BB,CORE
0401CS11,1,ME111,7,AB,CORE
0401CS11,1,PH101,6,BC,CORE
0401CS11,1,PH110,3,AA,CORE
0401CS11,2,CH102,6,BB,CORE
0401CS11,2,CS101,6,CC,CORE
0401CS11,2,CS110,3,BB,CORE
0401CS11,2,EE102,4,BB,CORE
0401CS11,2,MA102,8,BB,CORE
0401CS11,2,ME101,8,BB,CORE
0401CS11,2,ME110,3,AA,CORE
0401CS11,2,PH102,6,CC,CORE
0401CS11,3,CS201,9,AB,CORE
0401CS11,3,CS203,6,BB,CORE
0401CS11,3,CS221,6,BB,CORE
0401CS11,3,EE220,8,BB,CORE
0401CS11,3,HS201,6,BB,HS Elective
0401CS11,3,MA201,8,BB,CORE
0401CS11,4,CS204,6,BC,CORE
0401CS11,4,CS222,6,BC,CORE
0401CS11,4,CS223,3,AB,CORE
0401CS11,4,CS241,7,BB,CORE
0401CS11,4,CS242,5,AB,CORE
0401CS11,4,HS211,6,AB,HS ELECTIVE
0401CS11,4,MA225,8,BB,CORE
0401CS11,4,MA251,6,BC,Elective-Sc.
0401CS11,5,CS301,6,BB,CORE
0401CS11,5,CS331,8,BB,CORE
0401CS11,5,CS341,6,AB,CORE
0401CS11,5,CS342,5,AB,CORE
0401CS11,5,CS343,6,BB,CORE
0401CS11,5,CS344,6,BB,CORE
0401CS11,5,CS345,5,AB,CORE
0401CS11,6,CS302,6,AB,CORE
0401CS11,6,CS346,6,BB,CORE
0401CS11,6,CS347,3,AB,CORE
0401CS11,6,CS348,8,AB,CORE
0401CS11,6,CS362,8,BB,CORE
0401CS11,6,CS399,3,AB,CORE
0401CS11,6,HS331,6,AB,HS Elective
0401CS11,7,CS400,2,AA,CORE
0401CS11,7,CS421,6,BB,CORE
0401CS11,7,CS422,5,BB,CORE
0401CS11,7,CS443,6,AB,DEPARTMENTAL ELECTIVE - II
0401CS11,7,CS461,6,AB,DEPARTMENTAL ELECTIVE - I
0401CS11,7,CS498,10,AA,CORE
0401CS11,7,PH401,6,AA,OPEN ELECTIVE - I
0401CS11,8,CS452,6,AA,Departmental Elective - IV
0401CS11,8,CS453,6,AA,Departmental Elective - III
0401CS11,8,CS499,16,AA,CORE
0401CS11,8,HS441,6,AB,HSS Elective
0401CS11,8,PH403,6,AB,Open Elective - II
0401CS12,1,CH101,8,BB,CORE
0401CS12,1,CH110,3,AB,CORE
0401CS12,1,EE101,8,BC,CORE
0401CS12,1,HS101,6,AB,CORE
0401CS12,1,MA101,8,AB,CORE
0401CS12,1,ME111,7,AB,CORE
0401CS12,1,PH101,6,BC,CORE
