rollno,register_sem,schedule_sem,subno,grade1,date_of_entry1,grade2,date_of_entry2,sub_type,slot
1901EE68,5,5,EE372,NULL,NULL,NULL,NULL,CORE,NULL
1901EE68,5,5,EE381,NULL,NULL,NULL,NULL,CORE,NULL
1901EE48,5,5,CS384,NULL,NULL,NULL,NULL,Open Elective,NULL
1901EE48,5,5,EE330,NULL,NULL,NULL,NULL,CORE,NULL
1901EE48,5,5,EE331,NULL,NULL,NULL,NULL,CORE,NULL
1901EE48,5,5,EE350,NULL,NULL,NULL,NULL,CORE,NULL
1901EE48,5,5,EE370,NULL,NULL,NULL,NULL,CORE,NULL
1901EE48,5,5,EE372,NULL,NULL,NULL,NULL,CORE,NULL
1901EE48,5,5,EE381,NULL,NULL,NULL,NULL,CORE,NULL
1901EE54,5,5,CS384,NULL,NULL,NULL,NULL,Open Elective,NULL
1901EE54,5,5,EE330,NULL,NULL,NULL,NULL,CORE,NULL
1901EE54,5,5,EE331,NULL,NULL,NULL,NULL,CORE,NULL
1901EE54,5,5,EE350,NULL,NULL,NULL,NULL,CORE,NULL
1901EE54,5,5,EE370,NULL,NULL,NULL,NULL,CORE,NULL
1901EE54,5,5,EE372,NULL,NULL,NULL,NULL,CORE,NULL
1901EE54,5,5,EE381,NULL,NULL,NULL,NULL,CORE,NULL
2011CE02,3,3,CE605,NULL,NULL,NULL,NULL,CORE,NULL
2011EE13,3,3,EE595,NULL,NULL,NULL,NULL,CORE,NULL
2011CS16,3,3,CS695,NULL,NULL,NULL,NULL,CORE,NULL
2011MM09,3,3,MM603,NULL,NULL,NULL,NULL,CORE,NULL
1901ME19,5,5,CS384,NULL,NULL,NULL,NULL,Open Elective - II,NULL
1901ME19,5,5,ME313,NULL,NULL,NULL,NULL,CORE,NULL
1901ME19,5,5,ME331,NULL,NULL,NULL,NULL,CORE,NULL
1901ME19,5,5,ME393,NULL,NULL,NULL,NULL,CORE,NULL
1901ME19,5,5,ME395,NULL,NULL,NULL,NULL,CORE,NULL
1901CE16,5,5,CS384,NULL,NULL,NULL,NULL,Open Elective - II,NULL
1901CE16,5,5,CE303,NULL,NULL,NULL,NULL,CORE,NULL
1901CE16,5,5,CE317,NULL,NULL,NULL,NULL,CORE,NULL
1901CE16,5,5,CE319,NULL,NULL,NULL,NULL,CORE,NULL
1901CE16,5,5,CE321,NULL,NULL,NULL,NULL,CORE,NULL
1901CE16,5,5,CE391,NULL,NULL,NULL,NULL,CORE,NULL
1901CE16,5,5,CE393,NULL,NULL,NULL,NULL,CORE,NULL
1901CS65,5,5,PH301,NULL,NULL,NULL,NULL,Open Elective,NULL
1901CS65,5,5,CS303,NULL,NULL,NULL,NULL,CORE,NULL
1901CS65,5,5,CS321,NULL,NULL,NULL,NULL,CORE,NULL
1901CS65,5,5,CS322,NULL,NULL,NULL,NULL,CORE,NULL
1901CS65,5,5,CS354,NULL,NULL,NULL,NULL,CORE,NULL
1901CS65,5,5,CS355,NULL,NULL,NULL,NULL,CORE,NULL
1901EE03,5,5,CS384,NULL,NULL,NULL,NULL,Open Elective,NULL
1901EE03,5,5,EE330,NULL,NULL,NULL,NULL,CORE,NULL
1901EE03,5,5,EE331,NULL,NULL,NULL,NULL,CORE,NULL
1901EE03,5,5,EE350,NULL,NULL,NULL,NULL,CORE,NULL
1901EE03,5,5,EE370,NULL,NULL,NULL,NULL,CORE,NULL
1901EE03,5,5,EE372,NULL,NULL,NULL,NULL,CORE,NULL
1901EE03,5,5,EE381,NULL,NULL,NULL,NULL,CORE,NULL
2011CS03,3,3,CS695,NULL,NULL,NULL,NULL,CORE,NULL
1901EE05,5,5,CS384,NULL,NULL,NULL,NULL,Open Elective,NULL
1901EE05,5,5,EE330,NULL,NULL,NULL,NULL,CORE,NULL
1901EE05,5,5,EE331,NULL,NULL,NULL,NULL,CORE,NULL
1901EE05,5,5,EE350,NULL,NULL,NULL,NULL,CORE,NULL
1901EE05,5,5,EE370,NULL,NULL,NULL,NULL,CORE,NULL
1901EE05,5,5,EE372,NULL,NULL,NULL,NULL,CORE,NULL
1901EE05,5,5,EE381,NULL,NULL,NULL,NULL,CORE,NULL
2011ME09,3,3,ME603,NULL,NULL,NULL,NULL,CORE,NULL
1901CB14,5,5,CS384,NULL,NULL,NULL,NULL,Open Elective - II,NULL
1901CB14,5,5,CB301,NULL,NULL,NULL,NULL,CORE,NULL
1901CB14,5,5,CB303,NULL,NULL,NULL,NULL,CORE,NULL
1901CB14,5,5,CB305,NULL,NULL,NULL,NULL,CORE,NULL
1901CB14,5,5,CB307,NULL,NULL,NULL,NULL,CORE,NULL
1901CB14,5,5,CB309,NULL,NULL,NULL,NULL,CORE,NULL
1901CB14,5,5,CB317,NULL,NULL,NULL,NULL,CORE,NULL
1901CB10,5,5,CS384,NULL,NULL,NULL,NULL,Open Elective - II,NULL
1901CB10,5,5,CB301,NULL,NULL,NULL,NULL,CORE,NULL
1901CB10,5,5,CB303,NULL,NULL,NULL,NULL,CORE,NULL
1901CB10,5,5,CB305,NULL,NULL,NULL,NULL,CORE,NULL
1901CB10,5,5,CB307,NULL,NULL,NULL,NULL,CORE,NULL
1901CB10,5,5,CB309,NULL,NULL,NULL,NULL,CORE,NULL
1901CB10,5,5,CB317,NULL,NULL,NULL,NULL,CORE,NULL
1901EE72,5,5,CS384,NULL,NULL,NULL,NULL,Open Elective,NULL
1901EE72,5,5,EE330,NULL,NULL,NULL,NULL,CORE,NULL
1901EE72,5,5,EE331,NULL,NULL,NULL,NULL,CORE,NULL
1901EE72,5,5,EE350,NULL,NULL,NULL,NULL,CORE,NULL
1901EE72,5,5,EE370,NULL,NULL,NULL,NULL,CORE,NULL
1901EE72,5,5,EE372,NULL,NULL,NULL,NULL,CORE,NULL
1901EE72,5,5,EE381,NULL,NULL,NULL,NULL,CORE,NULL
2011MM17,3,3,MM603,NULL,NULL,NULL,NULL,CORE,NULL
1901EE65,5,5,CS384,NULL,NULL,NULL,NULL,Open Elective,NULL
1901EE65,5,5,EE330,NULL,NULL,NULL,NULL,CORE,NULL
1901EE65,5,5,EE331,NULL,NULL,NULL,NULL,CORE,NULL
1901EE65,5,5,EE350,NULL,NULL,NULL,NULL,CORE,NULL
1901EE65,5,5,EE370,NULL,NULL,NULL,NULL,CORE,NULL
1901EE65,5,5,EE372,NULL,NULL,NULL,NULL,CORE,NULL
1901EE65,5,5,EE381,NULL,NULL,NULL,NULL,CORE,NULL
1901CB13,5,5,CS384,NULL,NULL,NULL,NULL,Open Elective - II,NULL
1901CB13,5,5,CB301,NULL,NULL,NULL,NULL,CORE,NULL
1901CB13,5,5,CB303,NULL,NULL,NULL,NULL,CORE,NULL
1901CB13,5,5,CB305,NULL,NULL,NULL,NULL,CORE,NULL
1901CB13,5,5,CB307,NULL,NULL,NULL,NULL,CORE,NULL
1901CB13,5,5,CB309,NULL,NULL,NULL,NULL,CORE,NULL
1901CB13,5,5,CB317,NULL,NULL,NULL,NULL,CORE,NULL
2011MT12,3,3,MH603,NULL,NULL,NULL,NULL,CORE,NULL
1901EE34,5,5,CS384,NULL,NULL,NULL,NULL,Open Elective,NULL
1901EE34,5,5,EE330,NULL,NULL,NULL,NULL,CORE,NULL
1901EE34,5,5,EE331,NULL,NULL,NULL,NULL,CORE,NULL
1901EE34,5,5,EE350,NULL,NULL,NULL,NULL,CORE,NULL
1901EE34,5,5,EE370,NULL,NULL,NULL,NULL,CORE,NULL
1901EE34,5,5,EE372,NULL,NULL,NULL,NULL,CORE,NULL
1901EE34,5,5,EE381,NULL,NULL,NULL,NULL,CORE,NULL
1901CE56,5,5,CS384,NULL,NULL,NULL,NULL,Open Elective - II,NULL
1901CE56,5,5,CE303,NULL,NULL,NULL,NULL,CORE,NULL
1901CE56,5,5,CE317,NULL,NULL,NULL,NULL,CORE,NULL
1901CE56,5,5,CE319,NULL,NULL,NULL,NULL,CORE,NULL
1901CE56,5,5,CE321,NULL,NULL,NULL,NULL,CORE,NULL
1901CE56,5,5,CE391,NULL,NULL,NULL,NULL,CORE,NULL
1901CE56,5,5,CE393,NULL,NULL,NULL,NULL,CORE,NULL
2011CS10,3,3,CS695,NULL,NULL,NULL,NULL,CORE,NULL
1901EE23,5,5,CS384,NULL,NULL,NULL,NULL,Open Elective,NULL
1901EE23,5,5,EE330,NULL,NULL,NULL,NULL,CORE,NULL
1901EE23,5,5,EE331,NULL,NULL,NULL,NULL,CORE,NULL
1901EE23,5,5,EE350,NULL,NULL,NULL,NULL,CORE,NULL
1901EE23,5,5,EE370,NULL,NULL,NULL,NULL,CORE,NULL
1901EE23,5,5,EE372,NULL,NULL,NULL,NULL,CORE,NULL
1901EE23,5,5,EE381,NULL,NULL,NULL,NULL,CORE,NULL
1901CB06,5,5,CS384,NULL,NULL,NULL,NULL,Open Elective - II,NULL
1901CB06,5,5,CB301,NULL,NULL,NULL,NULL,CORE,NULL
1901CB06,5,5,CB303,NULL,NULL,NULL,NULL,CORE,NULL
1901CB06,5,5,CB305,NULL,NULL,NULL,NULL,CORE,NULL
1901CB06,5,5,CB307,NULL,NULL,NULL,NULL,CORE,NULL
1901CB06,5,5,CB309,NULL,NULL,NULL,NULL,CORE,NULL
1901CB06,5,5,CB317,NULL,NULL,NULL,NULL,CORE,NULL
2011MM12,3,3,MM603,NULL,NULL,NULL,NULL,CORE,NULL
1901ME58,5,5,HS301,NULL,NULL,NULL,NULL,Open Elective - II,NULL
1901ME58,5,5,ME313,NULL,NULL,NULL,NULL,CORE,NULL
1901ME58,5,5,ME331,NULL,NULL,NULL,NULL,CORE,NULL
1901ME58,5,5,ME393,NULL,NULL,NULL,NULL,CORE,NULL
1901ME58,5,5,ME395,NULL,NULL,NULL,NULL,CORE,NULL
2011MM06,3,3,MM603,NULL,NULL,NULL,NULL,CORE,NULL
2011MT16,3,3,MH603,NULL,NULL,NULL,NULL,CORE,NULL
2011CS09,3,3,CS695,NULL,NULL,NULL,NULL,CORE,NULL
2011MT17,3,3,MH603,NULL,NULL,NULL,NULL,CORE,NULL
1901ME52,5,5,HS301,NULL,NULL,NULL,NULL,Open Elective - II,NULL
1901ME52,5,5,ME313,NULL,NULL,NULL,NULL,CORE,NULL
1901ME52,5,5,ME331,NULL,NULL,NULL,NULL,CORE,NULL
1901ME52,5,5,ME393,NULL,NULL,NULL,NULL,CORE,NULL
1901ME52,5,5,ME395,NULL,NULL,NULL,NULL,CORE,NULL
1901MM06,5,5,HS301,NULL,NULL,NULL,NULL,Open Elective - II,NULL
1901MM06,5,5,MM301,NULL,NULL,NULL,NULL,CORE,NULL
1901MM06,5,5,MM303,NULL,NULL,NULL,NULL,CORE,NULL
1901MM06,5,5,MM305,NULL,NULL,NULL,NULL,CORE,NULL
1901MM06,5,5,MM307,NULL,NULL,NULL,NULL,CORE,NULL
1901MM06,5,5,MM311,NULL,NULL,NULL,NULL,CORE,NULL
2011CE13,3,3,CE605,NULL,NULL,NULL,NULL,CORE,NULL
2011MT11,3,3,MH603,NULL,NULL,NULL,NULL,CORE,NULL
2011MT07,3,3,MH603,NULL,NULL,NULL,NULL,CORE,NULL
1901CE32,5,5,CE303,NULL,NULL,NULL,NULL,CORE,NULL
1901CE32,5,5,CE317,NULL,NULL,NULL,NULL,CORE,NULL
1901CE32,5,5,CE319,NULL,NULL,NULL,NULL,CORE,NULL
1901CE32,5,5,CE321,NULL,NULL,NULL,NULL,CORE,NULL
1901CE32,5,5,CE391,NULL,NULL,NULL,NULL,CORE,NULL
1901CE32,5,5,CE393,NULL,NULL,NULL,NULL,CORE,NULL
1901EE17,5,5,CS384,NULL,NULL,NULL,NULL,Open Elective,NULL
1901EE17,5,5,EE330,NULL,NULL,NULL,NULL,CORE,NULL
1901EE17,5,5,EE331,NULL,NULL,NULL,NULL,CORE,NULL
1901EE17,5,5,EE350,NULL,NULL,NULL,NULL,CORE,NULL
1901EE17,5,5,EE370,NULL,NULL,NULL,NULL,CORE,NULL
1901EE17,5,5,EE372,NULL,NULL,NULL,NULL,CORE,NULL
1901EE17,5,5,EE381,NULL,NULL,NULL,NULL,CORE,NULL
1901CS42,5,5,HS301,NULL,NULL,NULL,NULL,Open Elective,NULL
1901CS42,5,5,CS303,NULL,NULL,NULL,NULL,CORE,NULL
1901CS42,5,5,CS321,NULL,NULL,NULL,NULL,CORE,NULL
1901CS42,5,5,CS322,NULL,NULL,NULL,NULL,CORE,NULL
1901CS42,5,5,CS354,NULL,NULL,NULL,NULL,CORE,NULL
1901CS42,5,5,CS355,NULL,NULL,NULL,NULL,CORE,NULL
1901EE09,5,5,CS384,NULL,NULL,NULL,NULL,Open Elective,NULL
1901EE09,5,5,EE330,NULL,NULL,NULL,NULL,CORE,NULL
1901EE09,5,5,EE331,NULL,NULL,NULL,NULL,CORE,NULL
1901EE09,5,5,EE350,NULL,NULL,NULL,NULL,CORE,NULL
1901EE09,5,5,EE370,NULL,NULL,NULL,NULL,CORE,NULL
1901EE09,5,5,EE372,NULL,NULL,NULL,NULL,CORE,NULL
1901EE09,5,5,EE381,NULL,NULL,NULL,NULL,CORE,NULL
1901EE60,5,5,CS384,NULL,NULL,NULL,NULL,Open Elective,NULL
1901EE60,5,5,EE330,NULL,NULL,NULL,NULL,CORE,NULL
1901EE60,5,5,EE331,NULL,NULL,NULL,NULL,CORE,NULL
1901EE60,5,5,EE350,NULL,NULL,NULL,NULL,CORE,NULL
1901EE60,5,5,EE370,NULL,NULL,NULL,NULL,CORE,NULL
1901EE60,5,5,EE372,NULL,NULL,NULL,NULL,CORE,NULL
1901EE60,5,5,EE381,NULL,NULL,NULL,NULL,CORE,NULL
1901CB37,5,5,CS384,NULL,NULL,NULL,NULL,Open Elective - II,NULL
1901CB37,5,5,CB301,NULL,NULL,NULL,NULL,CORE,NULL
1901CB37,5,5,CB303,NULL,NULL,NULL,NULL,CORE,NULL
1901CB37,5,5,CB305,NULL,NULL,NULL,NULL,CORE,NULL
1901CB37,5,5,CB307,NULL,NULL,NULL,NULL,CORE,NULL
1901CB37,5,5,CB309,NULL,NULL,NULL,NULL,CORE,NULL
1901CB37,5,5,CB317,NULL,NULL,NULL,NULL,CORE,NULL
2011EE05,3,3,EE595,NULL,NULL,NULL,NULL,CORE,NULL
1901EE32,5,5,CS384,NULL,NULL,NULL,NULL,Open Elective,NULL
1901EE32,5,5,EE330,NULL,NULL,NULL,NULL,CORE,NULL
1901EE32,5,5,EE331,NULL,NULL,NULL,NULL,CORE,NULL
1901EE32,5,5,EE350,NULL,NULL,NULL,NULL,CORE,NULL
1901EE32,5,5,EE370,NULL,NULL,NULL,NULL,CORE,NULL
1901EE32,5,5,EE372,NULL,NULL,NULL,NULL,CORE,NULL
1901EE32,5,5,EE381,NULL,NULL,NULL,NULL,CORE,NULL
1901EE70,5,5,PH301,NULL,NULL,NULL,NULL,Open Elective,NULL
1901EE70,5,5,EE330,NULL,NULL,NULL,NULL,CORE,NULL
1901EE70,5,5,EE331,NULL,NULL,NULL,NULL,CORE,NULL
1901EE70,5,5,EE350,NULL,NULL,NULL,NULL,CORE,NULL
1901EE70,5,5,EE370,NULL,NULL,NULL,NULL,CORE,NULL
1901EE70,5,5,EE372,NULL,NULL,NULL,NULL,CORE,NULL
1901EE70,5,5,EE381,NULL,NULL,NULL,NULL,CORE,NULL
1901EE59,5,5,HS301,NULL,NULL,NULL,NULL,Open Elective,NULL
1901EE59,5,5,EE330,NULL,NULL,NULL,NULL,CORE,NULL
1901EE59,5,5,EE331,NULL,NULL,NULL,NULL,CORE,NULL
1901EE59,5,5,EE350,NULL,NULL,NULL,NULL,CORE,NULL
1901EE59,5,5,EE370,NULL,NULL,NULL,NULL,CORE,NULL
1901EE59,5,5,EE372,NULL,NULL,NULL,NULL,CORE,NULL
1901EE59,5,5,EE381,NULL,NULL,NULL,NULL,CORE,NULL
1901CB46,5,5,CS384,NULL,NULL,NULL,NULL,Open Elective - II,NULL
1901CB46,5,5,CB301,NULL,NULL,NULL,NULL,CORE,NULL
1901CB46,5,5,CB303,NULL,NULL,NULL,NULL,CORE,NULL
1901CB46,5,5,CB305,NULL,NULL,NULL,NULL,CORE,NULL
1901CB46,5,5,CB307,NULL,NULL,NULL,NULL,CORE,NULL
1901CB46,5,5,CB309,NULL,NULL,NULL,NULL,CORE,NULL
1901CB46,5,5,CB317,NULL,NULL,NULL,NULL,CORE,NULL
2012MA06,3,3,MA529,NULL,NULL,NULL,NULL,Elective - II,NULL
2012MA06,3,3,MA521,NULL,NULL,NULL,NULL,CORE,NULL
2012MA06,3,3,MA523,NULL,NULL,NULL,NULL,CORE,NULL
2012MA06,3,3,MA525,NULL,NULL,NULL,NULL,CORE,NULL
2012MA06,3,3,MA591,NULL,NULL,NULL,NULL,CORE,NULL
1901CE15,5,5,CS384,NULL,NULL,NULL,NULL,Open Elective - II,NULL
1901CE15,5,5,CE303,NULL,NULL,NULL,NULL,CORE,NULL
1901CE15,5,5,CE317,NULL,NULL,NULL,NULL,CORE,NULL
1901CE15,5,5,CE319,NULL,NULL,NULL,NULL,CORE,NULL
1901CE15,5,5,CE321,NULL,NULL,NULL,NULL,CORE,NULL
1901CE15,5,5,CE391,NULL,NULL,NULL,NULL,CORE,NULL
1901CE15,5,5,CE393,NULL,NULL,NULL,NULL,CORE,NULL
2011CE08,3,3,CE605,NULL,NULL,NULL,NULL,CORE,NULL
2012MA01,3,3,MA533,NULL,NULL,NULL,NULL,Elective - II,NULL
2012MA01,3,3,MA521,NULL,NULL,NULL,NULL,CORE,NULL
2012MA01,3,3,MA523,NULL,NULL,NULL,NULL,CORE,NULL
2012MA01,3,3,MA525,NULL,NULL,NULL,NULL,CORE,NULL
2012MA01,3,3,MA591,NULL,NULL,NULL,NULL,CORE,NULL
1901CB20,5,5,CS384,NULL,NULL,NULL,NULL,Open Elective - II,NULL
1901CB20,5,5,CB301,NULL,NULL,NULL,NULL,CORE,NULL
1901CB20,5,5,CB303,NULL,NULL,NULL,NULL,CORE,NULL
1901CB20,5,5,CB305,NULL,NULL,NULL,NULL,CORE,NULL
1901CB20,5,5,CB307,NULL,NULL,NULL,NULL,CORE,NULL
1901CB20,5,5,CB309,NULL,NULL,NULL,NULL,CORE,NULL
1901CB20,5,5,CB317,NULL,NULL,NULL,NULL,CORE,NULL
1901EE22,5,5,CS384,NULL,NULL,NULL,NULL,Open Elective,NULL
1901EE22,5,5,EE330,NULL,NULL,NULL,NULL,CORE,NULL
1901EE22,5,5,EE331,NULL,NULL,NULL,NULL,CORE,NULL
1901EE22,5,5,EE350,NULL,NULL,NULL,NULL,CORE,NULL
1901EE22,5,5,EE370,NULL,NULL,NULL,NULL,CORE,NULL
1901EE22,5,5,EE372,NULL,NULL,NULL,NULL,CORE,NULL
1901EE22,5,5,EE381,NULL,NULL,NULL,NULL,CORE,NULL
2012MA10,3,3,MA529,NULL,NULL,NULL,NULL,Elective - I,NULL
2012MA10,3,3,MA533,NULL,NULL,NULL,NULL,Elective - II,NULL
2012MA10,3,3,MA521,NULL,NULL,NULL,NULL,CORE,NULL
2012MA10,3,3,MA523,NULL,NULL,NULL,NULL,CORE,NULL
2012MA10,3,3,MA525,NULL,NULL,NULL,NULL,CORE,NULL
2012MA10,3,3,MA591,NULL,NULL,NULL,NULL,CORE,NULL
2012MA23,3,3,MA529,NULL,NULL,NULL,NULL,Elective - I,NULL
2012MA23,3,3,MA533,NULL,NULL,NULL,NULL,Elective - II,NULL
2012MA23,3,3,MA521,NULL,NULL,NULL,NULL,CORE,NULL
2012MA23,3,3,MA523,NULL,NULL,NULL,NULL,CORE,NULL
2012MA23,3,3,MA525,NULL,NULL,NULL,NULL,CORE,NULL
2012MA23,3,3,MA591,NULL,NULL,NULL,NULL,CORE,NULL
1901CS36,5,5,CS303,NULL,NULL,NULL,NULL,CORE,NULL
1901CS36,5,5,CS321,NULL,NULL,NULL,NULL,CORE,NULL
1901CS36,5,5,CS322,NULL,NULL,NULL,NULL,CORE,NULL
1901CS36,5,5,CS354,NULL,NULL,NULL,NULL,CORE,NULL
1901CS36,5,5,CS355,NULL,NULL,NULL,NULL,CORE,NULL
2011CE01,3,3,CE605,NULL,NULL,NULL,NULL,CORE,NULL
2011CS02,3,3,CS695,NULL,NULL,NULL,NULL,CORE,NULL
1901ME28,5,5,PH301,NULL,NULL,NULL,NULL,Open Elective - II,NULL
1901ME28,5,5,ME313,NULL,NULL,NULL,NULL,CORE,NULL
1901ME28,5,5,ME331,NULL,NULL,NULL,NULL,CORE,NULL
1901ME28,5,5,ME393,NULL,NULL,NULL,NULL,CORE,NULL
1901ME28,5,5,ME395,NULL,NULL,NULL,NULL,CORE,NULL
1901ME41,5,5,CS384,NULL,NULL,NULL,NULL,Open Elective - II,NULL
1901ME41,5,5,ME313,NULL,NULL,NULL,NULL,CORE,NULL
1901ME41,5,5,ME331,NULL,NULL,NULL,NULL,CORE,NULL
1901ME41,5,5,ME393,NULL,NULL,NULL,NULL,CORE,NULL
1901ME41,5,5,ME395,NULL,NULL,NULL,NULL,CORE,NULL
1901ME46,5,5,CS384,NULL,NULL,NULL,NULL,Open Elective - II,NULL
1901ME46,5,5,ME313,NULL,NULL,NULL,NULL,CORE,NULL
1901ME46,5,5,ME331,NULL,NULL,NULL,NULL,CORE,NULL
1901ME46,5,5,ME393,NULL,NULL,NULL,NULL,CORE,NULL
1901ME46,5,5,ME395,NULL,NULL,NULL,NULL,CORE,NULL
1901ME16,5,5,CS384,NULL,NULL,NULL,NULL,Open Elective - II,NULL
1901ME16,5,5,ME313,NULL,NULL,NULL,NULL,CORE,NULL
1901ME16,5,5,ME331,NULL,NULL,NULL,NULL,CORE,NULL
1901ME16,5,5,ME393,NULL,NULL,NULL,NULL,CORE,NULL
1901ME16,5,5,ME395,NULL,NULL,NULL,NULL,CORE,NULL
1901ME40,5,5,CS384,NULL,NULL,NULL,NULL,Open Elective - II,NULL
1901ME40,5,5,ME313,NULL,NULL,NULL,NULL,CORE,NULL
1901ME40,5,5,ME331,NULL,NULL,NULL,NULL,CORE,NULL
1901ME40,5,5,ME393,NULL,NULL,NULL,NULL,CORE,NULL
